id,depreciated_type,new_type
169,SURGE,
170,HOUR,secs
171,Stages,
172,IN,in H2O
173,MEG OH,
174,FPM,ft/min
175,DBSWIT,
176,LBS\HR,ton/h
177,VIRT,
178,STPT,PCT
179,kW h,kWh
181,SEQ,
182,KWH/DA,VA
183,Hz,Hz
185,TIME,
186,/h,secs
189,LOCK OUT,
190,degF,DEG F
191,CUFT,ft3/m
192,Fans,
193,KWH/MO,kWh
195,TON,BTU
197,800,
198,"wc,in H2O
199,KHW,kWh
200,UNIT,
201,FLOW,gpm
202,%Under,PCT
203,RESET,
204,Min,secs
205,KWH/YE,VA
206,PG,PCT
207,CRTIME,PCT
208,PCT CL,PCT
209,APR KW,VA
210,lbs/h,ton/h
211,KWH/M,VA
212,DEC KW,VA
213,% HEAT,PCT
214,SECNDS,secs
216,KBTUCF,BTU
217,IP3,
219,16,
221,KWH/D,VA
222,LOOPOU,
223,SCF HR,
224,%LOOPO,PCT
225,Fan,
226,ERR,
227,D AGIN,
228,IWC,in H2O
229,PUMP,
230,MCF,ft3/m
231,ft2,ft2
232,tons,
233,ORDER,
234,H2O,in H2O
235,%,PCT
236,AHUs,
237,T,DEG F
238,HERTZ,Hz
239,%rh,PCT
240,VLVS,PCT
241,% CAP,PCT
242,g/m,gpm
243,Hours,secs
245,volts,V
248,JAN KW,kWh
249,CHRL,
252,SECND5,secs
253,% HTG,PCT
254,CODE,
256,SPEED,ft/min
257,Dg-phase,
258,OUT,
259,DELTA,
261,SCFH,
262,Gains,
263,amp,A
264,PSIA,in H2O
265,COEF,
269,IN H20,in H2O
270,KTHRS,
271,ENABLE,
275,% OA,PCT
276,∞ F,DEG F
278,% LEL,PCT
279,VAr,
280,kwh/pe,kWh
281,pf,
282,COUNTE,
283,OUTPUT,
284,IGAIN,
285,PSIMIN,
286,% OPN,PCT
287,MEGOHM,ohm
289,rh,rh
290,LEAD,
292,CU FT,ft3/m
293,DEGS,DEG F
294,GAIN,
295,4099,
296,PA,
297,ft/m,ft/min
298,INCH H20,in H2O
299,MIcroS,secs
300,gal,gpm
301,#,PCT
302,PMPS,
304,Btu,BTU
305,4097,
306,Lbs/Yr,ton/h
307,CYCLE,
308,% CL,PCT
310,TON HR,ton/h
312,IG,PCT
313,% OFF,PCT
314,% CH4,PCT
315,% CLS,PCT
316,BTU hr,BTUh
317,PCT RH,PCT
318,LB,ton/h
319,units,
321,mA,mA
322,IN HG,in H2O
323,IP4,
324,PH,rh
325,BTU /H,BTUh
326,WattHr,kWh
327,RAMP,
328,JUL KW,kWh
330,Degres,DEG F
333,PGAIN,PCT
334,2 Pos,PCT
335,% OPEN,PCT
337,% Cool,PCT
338,STAGE,
339,ft3,ft3/m
341,gpm,gpm
344,FEB KW,kWh
346,TONHRS,ton/h
347,MBTU/H,BTUh
348,JUN KW,kWh
349,MWH,kWh
350,TIMER,
351,4116,
352,NUM,
353,klb/hr,ton/h
354,IP2,PCT
357,BTULB,ton/h
359,XXX,
360,KPA,in H2O
362,Total,
364," H20,in H2O
366,META,
367,Degree,DEG F
369,KLBS,ton/h
370,in.Hg.,in H2O
372,%HEAT,PCT
373,MAR KW,kWh
374,PORT,
377,GPM_MI,gpm
379,% RLA,PCT
381,INW,in H2O
383,PMP,
384,NO DIM,
385,KWH/W,kWh
386,days,secs
387,PCTCLS,PCT
388,LOOP,PCT
389,157,
390,BTUS/H,BTUh
391,∞,
392,146,
393,ft3/min,ft3/m
395,MMBTU,BTU
396,BOILER,
398,Amps,A
399,Btu/h,BTUh
400,CHLRS,A
403,SECND6,secs
405,CFMX10,ft3/m
406,FAULT,
407,GALLONS,gpm
408,FT3/MI,ft3/m
409,COMM,
410,kw / t,kWh
412,PERCNT,PCT
413,kW/Ton,kWh
414,KWH/Y,kWh
415,V,V
418,% ON,PCT
419,MBTUH,BTUh
421,PSIG.,in H2O
422,VDC,V
423,PRCNT,PCT
424,Mode,
427,Deg.,DEG F
428,VFD,
429,IN-H2O,in H2O
430,CUFTLB,ton/h
431,ft cd,ft3/m
433,FT3/M,ft3/m
435,W,VA
436,REQ,
437,FT,ft3/m
438,MAY KW,kWh
439,P GAIN,PCT
440,P;CT,PCT
442,WC,in H2O
444,155,
445,pph/Tn,ppm
446,GALS/M,gpm
449,Htz,Hz
450,% OVER,PCT
451,IP1,PCT
452,TWRS,
454,RP1,
455,KGAL,gpm
456,BTU LB,ton/h
458,BTU'S,BTUh
459,SECOND,secs
460,Mohm-cm,
461,S/m,
462,BTU /,BTUh
463,DG,DEG F
465,HP,VA
469,inH2O,in H2O
470,FPS,ft/min
471,SCF,ft3/m
472,%CLOSE,PCT
473,PCT.,PCT
474,I GAIN,PCT
476,W h,kWh
477,AREA,ft2
478,CWPS,
479,ft3/s,ft3/m
480,SCNDS,secs
482,IPS,ton/h
483,STARTS,
484,BLRS,
487,DEGS F,DEG F
488,$$,
489,TONS H,ton/h
490,PPO,
491,MBH,BTU
492,Btuh,BTUh
493,SYSTEM,
494,secs,secs
495,IN WG,in H2O
496,LP1,
497,TPY,
498,m2,ft2
499,27/28,
500,RH%,PCT
503,CNTROL,
504,%BYP,PCT
505,#STAGE,
506,#/HR,
509,F,DEG F
513,MV,V
515,KCFM,ft3/m
518,VALUE,PCT
520,OCT KW,VA
523,MAXFLN,
524,degmin,DEG F
527,% FLA,PCT
530,P[SI,in H2O
532,DEG F/m,DEG F
533,Btu/lbs,ton/h
733,° F,DEG F
738,kV,V
749,°F,DEG F
759,ton/h,
769,ft/s,ft/min
770,None,
